Representative,Office Running For,Total Raised
Pat Toomey (R-Pa)*,Pennsylvania Senate,"$6,486,484 "
James Lankford (R-Okla)*,Oklahoma Senate,"$6,400,524 "
Ben Sasse (R-Neb) ,Nebraska Senate,"$6,249,068 "
Mike Crapo (R-Idaho)*,Idaho Senate,"$6,220,006 "
Deb Fischer (R-Neb) ,Nebraska Senate,"$6,204,989 "
Shelley Moore Capito (R-WVa) ,West Virginia Senate,"$6,146,251 "
Jerry Moran (R-Kan)*,Kansas Senate,"$6,016,265 "
Angus King (I-Maine) ,Maine Senate,"$4,945,261 "
Rob Portman (R-Ohio)*,Ohio Senate,"$4,758,230 "
Mike Rounds (R-SD) ,South Dakota Senate,"$4,595,290 "
Mazie K Hirono (D-Hawaii) ,Hawaii Senate,"$4,529,238 "
Tom Carper (D-Del) ,Delaware Senate,"$4,386,584 "
Ben Cardin (D-Md) ,Maryland Senate,"$4,379,670 "
Brian Schatz (D-Hawaii)*,Hawaii Senate,"$4,206,989 "
Cindy Hyde-Smith (R-Miss) ,Mississippi Senate,"$3,961,690 "
Jack Reed (D-RI) ,Rhode Island Senate,"$3,923,396 "
John Hoeven (R-ND)*,North Dakota Senate,"$3,531,380 "
James E Risch (R-Idaho) ,Idaho Senate,"$3,527,132 "
Roy Blunt (R-Mo)*,Missouri Senate,"$3,038,040 "
Cynthia Lummis (R-Wyo) ,Wyoming Senate,"$2,855,718 "
Patrick Leahy (D-Vt)*,Vermont Senate,"$1,686,204 "
Richard Burr (R-NC)*,North Carolina Senate,"$482,435 "
Richard C Shelby (R-Ala)*,Alabama Senate,"$286,398 "
