Year,Rank,player_name,team,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2019,2019,"Noble, Pierson",MIM,,20,1,5,6,18,0,0,0,1
2019,2019,"Pace, Alex",SCA,,20,1,5,6,24,0,0,0,1
2019,2019,"Wallace, Peytin",WHI,,18,0,6,6,20,0,0,0,0
2019,2019,"X Kearney AP, Zack",OAK,,4,3,3,6,0,0,0,0,0
2019,2019,"Young, Zach",MIM,,6,1,5,6,2,0,0,0,0
2019,2019,"Allaer AP, Landon",KWE,,6,0,5,5,6,0,0,0,0
2019,2019,"Begley AP, Carter",MIM,,4,1,4,5,0,0,0,0,0
2019,2019,"Berg, Justin",BLS,,14,0,5,5,0,0,0,0,0
2019,2019,"Bradshaw, Aaron",PET,,5,1,4,5,2,0,1,0,0
2019,2019,"Budway, Jack (AP)",WHI,,2,2,3,5,0,0,0,0,0
2019,2019,"Dong, Kevin",OAK,,19,3,2,5,13,0,0,0,1
2019,2019,"Doolittle, Jake",WHI,,20,0,5,5,8,0,0,0,1
2019,2019,"Greyeyes, Aaron",SNA,,9,2,3,5,4,0,0,0,0
2019,2019,"Lowes, Holden",PET,,19,1,4,5,10,0,0,0,0
2019,2019,"Martino, Jacob",OAK,,18,2,3,5,28,0,0,0,1
2019,2019,"McCrory, Liam",BLS,,9,3,2,5,2,1,0,0,0
2019,2019,"Oakes, Tesi",ORA,,2,2,3,5,0,0,1,0,0
2019,2019,"Petite, Noah",PET,,7,1,4,5,2,0,0,0,0
2019,2019,"Saunders, Jacob",BUR,,13,1,4,5,20,0,1,0,0
2019,2019,"Skidders, Isaiah",SNA,,3,1,4,5,0,0,0,0,0
2019,2019,"Somers AP, Brad",OAK,,6,1,4,5,2,0,0,0,0
2019,2019,"Swanton, Logan",ORA,,14,2,3,5,2,0,0,0,0
2019,2019,"Sykes, Matthew",MIM,,9,1,4,5,21,0,1,0,0
2019,2019,"Thompson (AP), Ty",ORA,,2,3,2,5,0,0,1,0,0
2019,2019,"Thompson, Josh",BRA,,20,1,4,5,8,0,0,0,0
2019,2019,"Thomson AP, Finlay",MIM,,4,2,3,5,2,1,1,0,0
2019,2019,"Walker, Brayden",KWE,,9,3,2,5,0,0,0,0,0
2019,2019,"(AP) Dooley, Taylor",TOR,,18,3,1,4,14,0,0,0,0
2019,2019,"Anderson, David",TOR,,4,3,1,4,0,0,0,0,1
2019,2019,"Barnes, Rowisonkies",PET,,4,0,4,4,0,0,1,0,1
2019,2019,"Bolger, Dawson",KWE,,6,1,3,4,0,0,0,0,0
2019,2019,"Bomberry, Davin",SNA,,4,0,4,4,2,0,0,0,0
2019,2019,"Bushey, Jayden",PET,,7,0,4,4,0,0,1,0,0
2019,2019,"Crowley, Kevin",MIM,,9,0,4,4,0,0,0,0,0
2019,2019,"Erskine, Brett",SCA,,2,1,3,4,0,0,2,0,0
2019,2019,"Jackman, Michael",OAK,,19,1,3,4,14,0,0,0,0
2019,2019,"Janse, Gage",BLS,,11,0,4,4,6,0,0,0,0
2019,2019,"Kangas, Charlie",PET,,6,0,4,4,4,0,0,0,0
2019,2019,"McKenzie, Carter",KWE,,5,3,1,4,0,0,0,1,0
2019,2019,"Medeiros, Jordan",BRA,,19,0,4,4,22,0,0,0,1
2019,2019,"Mikulik, Ty",ORA,,19,0,4,4,27,0,0,0,0
2019,2019,"Snider, Lucas",KWE,,10,2,2,4,19,0,1,0,0
2019,2019,"Thistlethwaite, Adam",PET,,16,2,2,4,4,0,0,0,0
2019,2019,"Utrosa, Ben",WHI,,17,2,2,4,18,0,0,0,0
2019,2019,"Wyers, Cameron",TOR,,12,2,2,4,28,0,0,1,0
2019,2019,"X MAYEA, BRAYDEN",SCA,,1,0,4,4,0,0,1,0,0
2019,2019,"Ash AP, Riley",ORA,,2,0,3,3,0,0,0,0,0
2019,2019,"Beaulieu AP, Noah",MIM,,4,0,3,3,6,0,0,0,0
2019,2019,"Black-Fernandes, Ethan",TOR,,20,0,3,3,25,0,0,0,0
2019,2019,"Boehm, Jonah",KWE,,18,0,3,3,8,0,0,0,0
2019,2019,"Cecile, Will",BUR,,11,1,2,3,4,0,1,0,0
2019,2019,"Coulman, Hayden",OAK,,17,0,3,3,6,0,0,0,0
2019,2019,"Creasor, Caleb",BLS,,11,2,1,3,6,0,0,0,0
2019,2019,"Follows, Jack",OAK,,16,1,2,3,4,1,0,0,0
2019,2019,"Handsor, Brett",BLS,,4,0,3,3,4,0,1,0,0
2019,2019,"MacDonald AP, Graham",BLS,,6,1,2,3,2,0,0,0,0
2019,2019,"Mackay, Liam",BRA,,10,2,1,3,11,0,0,0,0
2019,2019,"McKinnon, Ian",WHI,,12,0,3,3,94,0,2,0,0
2019,2019,"Pitt, George",ORA,,5,2,1,3,2,0,0,0,0
2019,2019,"Pitt, Norm",ORA,,6,1,2,3,0,0,0,0,0
2019,2019,"Renzetti, Lucas",BLS,,17,0,3,3,21,0,0,0,0
2019,2019,"Riggs, Ethan",BUR,,19,0,3,3,31,0,0,0,1
2019,2019,"Robinson, Luke",BUR,,1,1,2,3,0,0,0,0,0
2019,2019,"Romanchych, Curtis",ORA,,11,1,2,3,17,0,0,0,0
2019,2019,"Stoop, Mark",PET,,2,1,2,3,0,0,0,0,0
2019,2019,"Wallace, Blain",BUR,,2,1,2,3,2,0,1,0,0
2019,2019,"Ward, Aaron",SCA,,2,1,2,3,0,0,0,0,0
2019,2019,"Webb, Nicholas",PET,,19,0,3,3,6,0,0,0,0
2019,2019,"X (AP) Martin, Justin",TOR,,3,2,1,3,0,0,0,1,0
2019,2019,"(AP) Nizielski, Kaz",TOR,,6,0,2,2,2,0,0,0,0
2019,2019,"(UAP) Romano, Luca",TOR,,2,0,2,2,0,0,0,0,0
2019,2019,"Anderson, Daris",SNA,,1,0,2,2,2,0,0,0,0
2019,2019,"Carroll AP, James",OAK,,7,0,2,2,2,0,1,0,1
2019,2019,"Cole, Joe",PET,,1,1,1,2,0,0,0,0,0
2019,2019,"Collins, Tom",PET,,3,2,0,2,0,0,0,0,0
2019,2019,"Cook-Down, Owen",TOR,,6,1,1,2,4,0,0,0,0
2019,2019,"DeAmicis, Patrick",BRA,,20,0,2,2,0,0,0,0,0
2019,2019,"Egan, Cam",TOR,,12,1,1,2,21,0,0,0,0
2019,2019,"Ertel AP, Justin",KWE,,2,0,2,2,0,0,2,0,0
2019,2019,"Grace, Michael",BUR,,16,0,2,2,6,0,0,0,0
2019,2019,"Grandel, Tyler",PET,,20,2,0,2,16,0,0,0,0
2019,2019,"Hall, Curtis",KWE,,20,0,2,2,29,0,0,0,0
2019,2019,"Howard, Gavin",SCA,,2,0,2,2,0,0,0,0,0
2019,2019,"Hrynluk, Pete",SCA,,3,2,0,2,0,0,0,0,0
2019,2019,"Iozzo, Gabe",MIM,,10,0,2,2,6,0,1,0,0
2019,2019,"Kane, Kerry",TOR,,3,1,1,2,0,0,0,0,0
2019,2019,"Kaschalk, Patrick",BUR,,5,0,2,2,4,0,0,0,0
2019,2019,"Kenney, Nolam",MIM,,16,1,1,2,4,0,0,0,0
2019,2019,"Kit, John",SCA,,16,2,0,2,2,0,0,0,0
2019,2019,"Lebar, Noah",KWE,,20,0,2,2,21,0,0,0,0
2019,2019,"McDonnel, Brendan",PET,,2,0,2,2,0,0,0,0,0
2019,2019,"Okaema, Emeka",TOR,,20,0,2,2,8,0,0,0,0
2019,2019,"Powless, Marshall",SNA,,1,1,1,2,0,1,0,0,0
2019,2019,"Sanderson (AP), Cam",ORA,,2,0,2,2,2,0,0,0,0
2019,2019,"Thomas, Dalton",SNA,,2,1,1,2,0,0,0,0,1
2019,2019,"Thompson, Nonkon",SNA,,2,0,2,2,6,0,0,0,0
2019,2019,"Walker, Jason",BRA,,4,0,2,2,14,0,0,0,1
2019,2019,"Weier, Chris",ORA,,6,1,1,2,0,0,0,0,0
2019,2019,"Wheeler, Daniel",BRA,,17,0,2,2,31,0,0,0,0
2019,2019,"X Ackie, Jordan",KWE,,13,0,2,2,4,0,0,0,0
2019,2019,"X Rowe, Sam",MIM,,15,0,2,2,8,0,0,0,0
2019,2019,"(AP) McGinnis, Cam",TOR,,1,0,1,1,0,0,1,0,0
2019,2019,"Altmann, Michael",MIM,,9,0,1,1,8,0,0,0,0
2019,2019,"Anderson, Daris",SNA,,8,0,1,1,7,0,0,0,0
2019,2019,"Andersson, Mike (AP)",WHI,,2,0,1,1,0,0,0,0,0
2019,2019,"Beaulieu, Noah",MIM,,1,0,1,1,0,0,0,0,0
2019,2019,"Belter, Zach",ORA,,3,0,1,1,0,0,0,0,0
2019,2019,"Clark, Andrew",KWE,,20,0,1,1,4,0,0,0,0
2019,2019,"Columbus, Bo",KWE,,14,1,0,1,17,0,0,0,0
2019,2019,"Cook, Avery",PET,,9,1,0,1,6,0,0,0,0
2019,2019,"Davis, Cal",PET,,4,1,0,1,2,0,0,0,0
2019,2019,"Essensa AP, Cameron",MIM,,1,0,1,1,0,0,0,0,0
2019,2019,"Ford AP, Tyler",NA,,1,0,1,1,0,0,0,0,0
2019,2019,"Fox, Hayden",SNA,,10,0,1,1,46,0,0,0,0
2019,2019,"Fulgenzi, Nick",BLS,,11,0,1,1,14,0,0,0,0
2019,2019,"Gabura, James",OAK,,8,0,1,1,2,0,0,0,0
2019,2019,"Garcia, Jacob",NA,,1,1,0,1,0,1,0,0,0
2019,2019,"Gaston, Alex",SCA,,1,0,1,1,0,0,1,0,0
2019,2019,"Gowland, James",SNA,,15,0,1,1,4,0,0,0,0
2019,2019,"Hazelwood, Oliver",PET,,4,0,1,1,0,0,0,0,0
2019,2019,"Hunt, Jamie",ORA,,14,0,1,1,14,0,0,0,0
2019,2019,"Jackman AP, Brian",OAK,,1,1,0,1,0,0,0,0,0
2019,2019,"Knowles, Jakob",KWE,,3,0,1,1,0,0,0,0,0
2019,2019,"Kromer, Adam",WHI,,19,0,1,1,12,0,0,0,0
2019,2019,"Lyons, Brad",PET,,8,1,0,1,33,0,0,0,0
2019,2019,"Martin, Callyn",KWE,,11,1,0,1,4,0,0,0,0
2019,2019,"McMillan, Jacob",SCA,,2,1,0,1,0,0,0,0,0
2019,2019,"Miller, Matt",SNA,,11,0,1,1,2,0,0,0,0
2019,2019,"Noseworthy UAP, Caden",MIM,,3,0,1,1,0,0,0,0,0
2019,2019,"Robinson, Kobe",BLS,,20,0,1,1,27,0,1,0,0
2019,2019,"Roode, Nick",PET,,1,0,1,1,0,0,0,0,0
2019,2019,"Smith, Jayden",SNA,,9,1,0,1,2,0,0,0,0
2019,2019,"Snow, Gavin",OAK,,3,1,0,1,0,0,0,0,0
2019,2019,"Squire Hill, Isaac",SNA,,14,0,1,1,19,0,0,0,0
2019,2019,"Stannard, Ethan",PET,,18,1,0,1,26,0,0,0,0
2019,2019,"Steele, Liam",BRA,,8,0,1,1,4,0,1,0,0
2019,2019,"Stroop, Mark",PET,,1,1,0,1,0,0,0,0,0
2019,2019,"Tanner, Cole",KWE,,2,0,1,1,0,0,0,0,0
2019,2019,"Vanderude, Lydon",PET,,1,0,1,1,0,0,0,0,0
2019,2019,"White, Keegan (AP)",WHI,,1,1,0,1,0,0,0,0,0
2019,2019,"Zavitz, Keaton",SCA,,1,0,1,1,0,0,0,0,0
2019,2019,"(AP) Braithwaite, Andrew",TOR,,3,0,0,0,19,0,0,0,0
2019,2019,"(AP) Byrne, Brendan",TOR,,1,0,0,0,0,0,0,0,0
2019,2019,"(AP) Gagne, Martin",TOR,,1,0,0,0,0,0,0,0,0
2019,2019,"(AP) Hickey, Jackson",TOR,,2,0,0,0,2,0,0,0,0
2019,2019,"(AP) McLaughlin, Aidan",TOR,,2,0,0,0,0,0,0,0,0
2019,2019,"(AP) Quance, Ethan",TOR,,1,0,0,0,0,0,0,0,0
2019,2019,"(AP) Stepto, Marcus",TOR,,1,0,0,0,2,0,0,0,0
2019,2019,"(AP) Veltman, Kris",TOR,,1,0,0,0,0,0,0,0,0
2019,2019,"(UAP) Crawford, Doug",TOR,,1,0,0,0,0,0,0,0,0
2019,2019,"(UAP) Romano, Dante",TOR,,1,0,0,0,0,0,0,0,0
2019,2019,"Aggus, Hunter",BUR,,7,0,0,0,8,0,0,0,0
2019,2019,"Albert AP, Richie",KWE,,1,0,0,0,0,0,0,0,0
2019,2019,"Allaer, Landon",KWE,,1,0,0,0,0,0,0,0,0
2019,2019,"Almond, Jack",OAK,,1,0,0,0,0,0,0,0,0
2019,2019,"Barnes (AP), Brett",KWE,,2,0,0,0,0,0,0,0,0
2019,2019,"Beaulieu AP, Noah",MIM,,1,0,0,0,0,0,0,0,0
2019,2019,"Bedlington, Morgan",PET,,1,0,0,0,0,0,0,0,0
2019,2019,"Bolger (AP), Nathan",KWE,,1,0,0,0,0,0,0,0,0
2019,2019,"Bomberry, Davin",SNA,,1,0,0,0,0,0,0,0,0
2019,2019,"Boyle, Brenden",BUR,,9,0,0,0,2,0,0,0,0
2019,2019,"Braitwhaite, Andrew",TOR,,1,0,0,0,4,0,0,0,0
2019,2019,"Chubb AP, Jay",SNA,,2,0,0,0,0,0,0,0,0
2019,2019,"Connel, Caleb",PET,,2,0,0,0,2,0,0,0,0
2019,2019,"Coulman AP, Zack",OAK,,2,0,0,0,4,0,0,0,0
2019,2019,"Cox, Avery",PET,,1,0,0,0,2,0,0,0,0
2019,2019,"Crowley, Ben",PET,,1,0,0,0,0,0,0,0,0
2019,2019,"Dale AP, Owen",MIM,,6,0,0,0,0,0,0,0,0
2019,2019,"Dale, Owen",PET,,5,0,0,0,2,0,0,0,0
2019,2019,"Dalton, Andrew",PET,,3,0,0,0,2,0,0,0,0
